SNo	Date	Month	Year	BS	Expenses Group	Group	Sub Group	Bill Date	Vendor Name	Details-Description	Qty	KG	Feed KG	Rate	Amount
144	10/30/2025	Oct	2025	P&L	Feeding Material-2	P&L	Chokar			Chokar  32 kg	3	32	96	28.75	2760
144	10/30/2025	Oct	2025	P&L	Feeding Material-2	P&L	Kapila			Kapila	1	34	34	33.82352941	1150
144	10/30/2025	Oct	2025	P&L	Feeding Material-2	P&L	Freight and Cartage			Freight and Cartage					400
145	10/27/2025	Oct	2025	P&L	Feeding Material-2	P&L	Misc Feeed			Chokar+kapila+dal					300
146	10/31/2025	Oct	2025	BS	Tools	Tools	Plastic items			2 Plastic Tirpla+2 rig+rasi+umberela					1950
147	11/1/2025	Nov	2025	P&L	Feeding Material-2	P&L	Misc Feeed			Uriya 2 KG					20
148	11/1/2025	Nov	2025	P&L	Feeding Material-2	P&L	Mita			3 KG Gur					230
149	11/2/2025	Nov	2025	P&L	Medicine	P&L	Medicine								60
150	11/3/2025	Nov	2025	P&L-2	Cow	Cow-2	Advance			Advance Rs 5000 paid					0
152	11/3/2025	Nov	2025	P&L	Staff Welfare	Staff Welfare	Staff Welfare			Petrol+Khana					1260
153	11/4/2025	Nov	2025	P&L	Medicine	Medicine	Medicine			Cow Liquid Medicine					207
154	11/6/2025	Nov	2025	P&L-2	Cow	Cow-2	Loading/Unloading			Pickup Loading Charge-Freight					4500
155	11/6/2025	Nov	2025	P&L-2	Cow	Cow-2	Police Charge			Police Charge					100
156	11/6/2025	Nov	2025	P&L-2	Cow	Cow-2	Tol Charge			Tol Charge					150
157	11/6/2025	Nov	2025	P&L-2	Cow	Cow-2	Basic Price			Cow-2 Basic Price  (adv rs 5000 paid o 3/11	1				83500
157	11/6/2025	Nov	2025	P&L-2	Cow	Cow-2	Basic Price			Cow-3 Basic Price	1				83500
158	11/6/2025	Nov	2025	P&L	Feeding Material-2	P&L	Chokar			Chokar 5 Bags @ 1350	5	50	250	1350	6750
158	11/6/2025	Nov	2025	P&L	Feeding Material-2	P&L	Kapila			Kapila  5 Bags @ 1350	5	34	170	1080	5400
